MNO,Code,Latitude,Longitude
Telefonica,2500426,41.613583,0.625278
Telefonica,1700437,41.975278,2.798172
Vodafone,017784,40.387611,-5.764389
Telefonica,1600346,40.212353,-1.924689
Telefonica,3100316,42.811981,-1.634019
Telefonica,0700009,39.455606,3.185517
Telefonica,0801361,41.393719,2.173464
Orange,GALR8063A,42.662403,-7.768475
Telefonica,4500462,40.237867,-4.194625
Vodafone,81653,40.266575,-3.841597
Telefonica,4101302,37.387622,-5.997172
Telefonica,4400026,41.109128,-0.487614
Telefonica,2200402,42.207722,-0.280861
Telefonica,3500009,27.960503,-15.560842
Telefonica,2800125,40.261028,-4.467239
Telefonica,4300220,41.111589,1.249689
Telefonica,1800202,37.129528,-3.536417
Telefonica,1400565,37.744867,-4.755622
Telefonica,2600145,42.206722,-2.241136
Telefonica,4900062,41.575703,-6.054164
Telefonica,1300066,39.163806,-2.918111
Telefonica,2600236,42.319833,-2.812642
Telefonica,4300747,41.145383,1.123056
Vodafone,92739,39.566989,2.650656
Masmovil,1B4IB0661,39.57065,3.374892
Orange,ANDR6737A,38.107447,-4.496503
Telefonica,2804854,40.481444,-3.400069
Telefonica,4603803,39.643156,-0.247392
Telefonica,1900047,40.860547,-2.726308
Orange,RIOR0008N,42.462267,-2.438556
Vodafone,28224,36.663994,-5.111311
Telefonica,4301268,41.233439,1.529553
Telefonica,0803398,41.548239,2.207931
Telefonica,2901118,36.724564,-4.420978
Telefonica,3500570,28.110167,-15.417639
Telefonica,2900803,36.518561,-4.980439
Telefonica,0302315,38.222383,-0.519606
Telefonica,3800773,28.469433,-16.265281
Vodafone,24257,36.486256,-4.95555
Telefonica,4300421,41.501575,1.340683
Telefonica,0600238,38.916667,-6.347944
Telefonica,3301299,43.478481,-6.728992
Orange,VALR0179F,39.505775,-0.366886
Telefonica,3600686,42.303583,-8.768833
Vodafone,103973,40.3416,-1.595656
Orange,MADR0960A,40.395422,-3.684275
Telefonica,0301183,38.637333,-0.866125
Telefonica,2802066,40.312208,-4.494006
Telefonica,4800987,43.368425,-2.991311
Vodafone,82948,39.466194,-0.343914
Telefonica,4500288,39.999639,-4.27075
